## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	60
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	13747                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	800	600
## Calibration Point 0:	Position(400;300)
## Calibration Point 1:	Position(200;30)
## Calibration Point 2:	Position(760;150)
## Calibration Point 3:	Position(600;570)
## Calibration Point 4:	Position(40;450)
## [Geometry]
## Stimulus Dimension [mm]:	321	240
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023401-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
4461228869	SMP	1	1409.30	484.88	1175.21	461.40	22.99	22.99	5.12	24.35	24.35	5.37	1404.70	489.27	1410.96	489.22	1173.87	465.73	1180.16	465.65	456.52	267.70	487.55	305.33	0	1	1	2	-1	-1	-15.05	63.25	737.96	38.69	68.30	732.99	-0.05	0.12	-0.99	0.03	0.11	-0.99	0		
4461245512	SMP	1	1408.99	484.70	1175.12	461.02	23.06	23.06	5.12	24.69	24.69	5.38	1404.62	489.13	1410.72	489.13	1173.71	465.51	1179.97	465.52	458.79	263.52	484.74	293.94	0	1	1	2	-1	-1	-15.03	63.32	738.51	38.73	68.33	732.88	-0.04	0.13	-0.99	0.03	0.12	-0.99	0		
4461262188	SMP	1	1408.94	484.81	1174.87	460.78	22.95	22.95	5.12	24.56	24.56	5.39	1404.54	489.07	1410.62	489.09	1173.56	465.40	1179.80	465.47	457.93	266.25	485.86	286.49	0	1	1	2	-1	-1	-15.01	63.36	738.77	38.77	68.36	733.00	-0.05	0.12	-0.99	0.04	0.13	-0.99	0		
4461278834	SMP	1	1409.24	484.71	1175.15	460.85	22.97	22.97	5.12	24.27	24.27	5.39	1404.53	489.09	1410.61	489.13	1173.58	465.41	1179.78	465.45	450.78	262.51	478.84	287.57	0	1	1	2	-1	-1	-15.01	63.36	738.91	38.78	68.37	733.16	-0.06	0.13	-0.99	0.02	0.12	-0.99	0		
4461295511	SMP	1	1409.17	484.84	1175.01	461.10	23.12	23.12	5.12	24.23	24.23	5.38	1404.60	489.11	1410.72	489.15	1173.73	465.55	1179.98	465.52	452.77	264.11	485.01	294.19	0	1	1	2	-1	-1	-15.03	63.34	738.71	38.72	68.32	732.78	-0.05	0.12	-0.99	0.04	0.12	-0.99	0		
4461312155	SMP	1	1409.34	484.93	1175.02	461.14	22.99	22.99	5.12	24.31	24.31	5.38	1404.65	489.20	1410.94	489.21	1173.86	465.70	1180.11	465.56	450.62	264.62	488.29	293.08	0	1	1	2	-1	-1	-15.03	63.21	737.35	38.68	68.27	732.55	-0.05	0.12	-0.99	0.04	0.12	-0.99	0		
4461328872	SMP	1	1409.37	484.95	1175.02	461.77	22.65	22.65	5.10	23.69	23.69	5.35	1404.74	489.28	1411.00	489.26	1173.91	465.80	1180.18	465.73	449.94	263.74	489.93	333.18	0	1	1	2	-1	-1	-15.04	63.15	736.86	38.65	68.21	732.27	-0.05	0.12	-0.99	0.05	0.10	-0.99	0		
4461345474	SMP	1	1409.35	485.00	1175.41	461.74	22.73	22.73	5.09	24.13	24.13	5.35	1404.73	489.30	1411.03	489.26	1173.97	465.82	1180.24	465.86	450.23	264.94	479.59	318.42	0	1	1	2	-1	-1	-15.02	63.05	735.78	38.63	68.19	732.16	-0.05	0.12	-0.99	0.03	0.10	-0.99	0		
4461362148	SMP	1	1409.38	484.90	1175.19	461.86	22.86	22.86	5.08	23.26	23.26	5.31	1404.69	489.22	1410.96	489.27	1173.93	465.82	1180.21	465.78	449.58	263.60	483.65	337.60	0	1	1	2	-1	-1	-15.00	63.02	735.32	38.62	68.17	731.92	-0.05	0.12	-0.99	0.04	0.09	-0.99	0		
4461378799	SMP	1	1409.32	485.06	1174.96	461.76	22.66	22.66	5.07	23.75	23.75	5.30	1404.64	489.16	1410.85	489.19	1173.88	465.72	1180.17	465.65	448.91	267.20	488.38	343.34	0	1	1	2	-1	-1	-14.98	63.04	735.30	38.61	68.15	731.45	-0.06	0.11	-0.99	0.05	0.09	-0.99	0		
